seed,offset,scenario_id,status,system_cost,scheduled_fraction
1158,158,train_0158,FEASIBLE,11250.323395065223,1.0
1159,159,train_0159,FEASIBLE,10790.800361559164,1.0
1160,160,train_0160,FEASIBLE,11205.451015229492,1.0
1161,161,train_0161,OPTIMAL,11212.152189566958,1.0
1162,162,train_0162,FEASIBLE,10938.007779725156,1.0
1163,163,train_0163,OPTIMAL,11313.496089329397,1.0
1164,164,train_0164,OPTIMAL,11104.959386526798,1.0
1165,165,train_0165,FEASIBLE,10931.3401204465,1.0
1166,166,train_0166,OPTIMAL,11123.367670070324,1.0
1167,167,train_0167,OPTIMAL,11014.822962299011,1.0
1168,168,train_0168,OPTIMAL,11342.76790557054,1.0
1169,169,train_0169,OPTIMAL,11019.780786837524,1.0
1170,170,train_0170,OPTIMAL,10924.116173651253,1.0
1171,171,train_0171,FEASIBLE,11492.513473438727,1.0
1172,172,train_0172,OPTIMAL,11198.94063009162,1.0
1173,173,train_0173,OPTIMAL,11264.606082895578,1.0
1174,174,train_0174,FEASIBLE,11199.25643554836,1.0
1175,175,train_0175,FEASIBLE,11027.037554529568,1.0
1176,176,train_0176,OPTIMAL,11395.34305869353,1.0
1177,177,train_0177,FEASIBLE,11232.72918722767,1.0
1178,178,train_0178,OPTIMAL,11050.010189996085,1.0
1179,179,train_0179,OPTIMAL,10973.196446412438,1.0
1180,180,train_0180,OPTIMAL,11340.90544943556,1.0
1181,181,train_0181,OPTIMAL,10582.450468485573,1.0
1182,182,train_0182,FEASIBLE,11366.985958666959,1.0
1183,183,train_0183,FEASIBLE,11165.434082944768,1.0
1184,184,train_0184,FEASIBLE,11069.196292672214,1.0
1185,185,train_0185,FEASIBLE,11157.026161591857,1.0
1186,186,train_0186,FEASIBLE,11242.661588868861,1.0
1187,187,train_0187,OPTIMAL,11019.972856563978,1.0
1188,188,train_0188,FEASIBLE,11273.624608981876,1.0
1189,189,train_0189,FEASIBLE,11083.842139497347,1.0
1190,190,train_0190,OPTIMAL,11462.698793114014,1.0
1191,191,train_0191,FEASIBLE,11205.910377473136,1.0
1192,192,train_0192,OPTIMAL,11259.292444793437,1.0
1193,193,train_0193,OPTIMAL,11314.574432951913,1.0
1194,194,train_0194,OPTIMAL,11333.275339721707,1.0
1195,195,train_0195,FEASIBLE,11282.717972351793,1.0
1196,196,train_0196,OPTIMAL,11032.001032983773,1.0
1197,197,train_0197,FEASIBLE,11289.173267983762,1.0
1198,198,train_0198,OPTIMAL,10664.127567635942,1.0
1199,199,train_0199,FEASIBLE,11330.572537181606,1.0
